Run # 2
P: vx=36.36844, vy=56.03865, vz=-74.41107
P1: vx=-91.16914, vy=-36.53628, vz=-18.79595
P2: vx=41.16439, vy=-89.33450, vz=18.02332
P3: vx=25.97834, vy=89.14728, vz=-37.11993
P4: vx=-34.48568, vy=-64.90200, vz=67.81201
P5: vx=-22.11662, vy=-33.27868, vz=91.66998
P6: vx=81.38194, vy=-53.38449, vz=22.95813
P7: vx=11.92935, vy=73.56065, vz=-66.68225
P8: vx=-19.19678, vy=72.97546, vz=65.62062
P9: vx=-28.89277, vy=-62.93598, vz=-72.14063
P10: vx=29.65003, vy=62.15524, vz=72.50933
P11: vx=41.07722, vy=74.74859, vz=-52.20451
P12: vx=-79.51658, vy=28.92594, vz=-53.29543
P13: vx=58.89586, vy=-56.12907, vz=-58.14470
P14: vx=-93.49201, vy=8.01634, vz=-34.56853
P15: vx=73.67994, vy=63.59414, vz=22.95762
P16: vx=68.83504, vy=38.13416, vz=61.70514
P17: vx=21.84470, vy=-53.24554, vz=81.77849
P18: vx=68.63061, vy=57.97605, vz=43.91603
P19: vx=19.87046, vy=-84.85877, vz=49.03218
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4334.340285 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4334.964081 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4336.333625 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4332.545861 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4300.099407 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4289.977509 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4291.410598 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4289.885591 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4288.332314 [s]  t/tmax= 45.00%N_tot=  28        t=  3153600000000000.000000  dt=  1000000.000000  cpu=  4287.743515 [s]  t/tmax= 50.00%
