Run # 3
P: vx=20.36624, vy=-91.25188, vz=-35.47267
P1: vx=-13.38101, vy=-51.30724, vz=-84.78512
P2: vx=11.73375, vy=67.32879, vz=73.00105
P3: vx=-47.58564, vy=-87.67584, vz=-6.96811
P4: vx=-57.34434, vy=22.35230, vz=78.81625
P5: vx=53.47290, vy=-75.70947, vz=-37.53299
P6: vx=-81.17941, vy=-9.90821, vz=-57.54764
P7: vx=-28.69661, vy=-94.84906, vz=13.42238
P8: vx=-68.92243, vy=71.29959, vz=12.88670
P9: vx=4.51354, vy=-62.15999, vz=78.20334
P10: vx=48.56566, vy=48.16930, vz=-72.94584
P11: vx=-73.29333, vy=-62.69735, vz=-26.40324
P12: vx=-45.35467, vy=65.25389, vz=-60.70324
P13: vx=-47.13720, vy=-78.51081, vz=-40.17632
P14: vx=31.78982, vy=-61.35037, vz=72.28789
P15: vx=17.69083, vy=-76.31293, vz=62.15603
P16: vx=61.99860, vy=-72.83276, vz=-29.18155
P17: vx=-96.20587, vy=-13.35619, vz=-23.79164
P18: vx=38.78313, vy=26.38549, vz=-88.31577
P19: vx=-62.56312, vy=-77.82912, vz=-5.33701
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4330.228556 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4301.111023 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4293.236267 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4284.157177 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4274.694853 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4273.798137 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4264.538382 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4230.244481 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4222.468517 [s]  t/tmax= 45.00%N_tot=  28        t=  3153600000000000.000000  dt=  1000000.000000  cpu=  4222.426909 [s]  t/tmax= 50.00%
