Run # 5
P: vx=-31.88006, vy=-64.18803, vz=69.73922
P1: vx=-60.79520, vy=-51.00091, vz=-60.85105
P2: vx=-97.34736, vy=-22.86674, vz=-0.77731
P3: vx=59.35816, vy=-72.96580, vz=-33.94996
P4: vx=85.09661, vy=-50.31256, vz=-15.07361
P5: vx=-67.58938, vy=-37.85488, vz=-63.23515
P6: vx=-25.89047, vy=-75.10106, vz=-60.74137
P7: vx=-17.33084, vy=-21.85153, vz=-96.03204
P8: vx=-59.94620, vy=45.52657, vz=65.83149
P9: vx=-21.72519, vy=-25.36135, vz=94.25931
P10: vx=-4.46753, vy=29.28850, vz=-95.51034
P11: vx=-7.33171, vy=56.04978, vz=-82.49042
P12: vx=9.83240, vy=-97.01018, vz=22.18893
P13: vx=-73.02871, vy=65.10887, vz=20.67951
P14: vx=-32.72756, vy=69.09428, vz=64.45841
P15: vx=45.50210, vy=-70.29553, vz=-54.66349
P16: vx=-99.35253, vy=9.44563, vz=-6.31308
P17: vx=-27.64308, vy=-73.10092, vz=62.38683
P18: vx=20.20478, vy=-84.66404, vz=49.23176
P19: vx=16.50778, vy=-6.18089, vz=-98.43419
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4335.169339 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4335.694642 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4335.596607 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4335.535415 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4325.600175 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4312.147002 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4311.992535 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4311.318878 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4305.180737 [s]  t/tmax= 45.00%N_tot=  28        t=  3153600000000000.000000  dt=  1000000.000000  cpu=  4292.785704 [s]  t/tmax= 50.00%
