Run # 9
P: vx=-63.39993, vy=43.16645, vz=-64.16469
P1: vx=-34.31469, vy=93.50184, vz=-8.93913
P2: vx=65.66771, vy=38.09167, vz=65.09052
P3: vx=35.10309, vy=-67.92067, vz=64.45585
P4: vx=-59.47211, vy=59.86327, vz=53.66057
P5: vx=-67.71071, vy=-68.02553, vz=-28.06755
P6: vx=30.90799, vy=67.08322, vz=-67.41319
P7: vx=46.93782, vy=-63.94899, vz=-60.88816
P8: vx=83.39165, vy=-44.56046, vz=-32.56069
P9: vx=42.55972, vy=60.23947, vz=-67.52685
P10: vx=57.68437, vy=59.00107, vz=56.49236
P11: vx=-69.74539, vy=-37.54780, vz=61.03886
P12: vx=21.61241, vy=-96.92363, vz=-11.77768
P13: vx=-55.65361, vy=83.07660, vz=-0.97680
P14: vx=-59.13409, vy=78.71922, vz=-17.50556
P15: vx=-65.21953, vy=75.75477, vz=2.76189
P16: vx=-25.26187, vy=78.32991, vz=-56.80020
P17: vx=20.55893, vy=-74.68711, vz=63.23896
P18: vx=57.41586, vy=-38.36153, vz=72.33127
P19: vx=-60.33699, vy=75.17105, vz=26.62255
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4334.796880 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4335.623184 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4333.293384 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4316.718383 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4315.426658 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4315.482741 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4306.263383 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4282.819429 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4260.780155 [s]  t/tmax= 45.00%N_tot=  28        t=  3153600000000000.000000  dt=  1000000.000000  cpu=  4250.954975 [s]  t/tmax= 50.00%
