Run # 13
P: vx=29.22138, vy=-34.93625, vz=89.02567
P1: vx=-88.18584, vy=25.82957, vz=-39.44733
P2: vx=-55.20121, vy=47.28703, vz=68.67870
P3: vx=9.05320, vy=-68.64338, vz=-72.15349
P4: vx=-55.33821, vy=-63.23047, vz=54.21798
P5: vx=66.22358, vy=47.10713, vz=58.26968
P6: vx=-12.62580, vy=-94.81825, vz=-29.15629
P7: vx=58.27825, vy=-73.26579, vz=35.15350
P8: vx=-29.40497, vy=-92.31740, vz=24.75572
P9: vx=-66.85916, vy=52.11408, vz=-53.04691
P10: vx=65.91009, vy=-55.63281, vz=50.60485
P11: vx=78.15794, vy=-51.20631, vz=-35.62654
P12: vx=-78.13505, vy=-2.78304, vz=-62.34716
P13: vx=-67.52123, vy=-64.83214, vz=-35.18064
P14: vx=-79.54022, vy=-55.24412, vz=-24.92871
P15: vx=62.04745, vy=-58.63627, vz=-52.07592
P16: vx=63.96136, vy=12.80609, vz=-75.79544
P17: vx=-79.63439, vy=-17.02111, vz=-58.04003
P18: vx=71.14916, vy=61.90693, vz=-33.24650
P19: vx=-11.13841, vy=-57.49285, vz=81.05867
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4334.847333 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4335.855310 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4334.445440 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4328.298635 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4315.012376 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4315.603953 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4316.428610 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4314.637063 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4313.879370 [s]  t/tmax= 45.00%
