Run # 15
P: vx=-64.06262, vy=76.48503, vz=6.78382
P1: vx=-37.01125, vy=80.14172, vz=46.98375
P2: vx=-23.86072, vy=-22.37074, vz=-94.49982
P3: vx=-54.09332, vy=-80.88550, vz=-23.05316
P4: vx=85.47800, vy=41.32718, vz=-31.39389
P5: vx=-62.45403, vy=68.17297, vz=-38.10433
P6: vx=68.16051, vy=73.10945, vz=3.02539
P7: vx=59.18783, vy=55.98894, vz=57.98310
P8: vx=-22.56604, vy=-64.48035, vz=-73.02779
P9: vx=-49.58411, vy=82.84997, vz=26.02496
P10: vx=26.53898, vy=-80.64497, vz=-52.84005
P11: vx=-80.37354, vy=-19.24224, vz=-56.30124
P12: vx=78.65371, vy=56.09648, vz=25.82206
P13: vx=66.37159, vy=-66.47039, vz=34.30013
P14: vx=-28.72837, vy=-95.62513, vz=-5.52399
P15: vx=41.76264, vy=-34.06114, vz=-84.23610
P16: vx=-58.29001, vy=-42.73639, vz=-69.10770
P17: vx=17.00970, vy=-54.51569, vz=82.08964
P18: vx=18.34697, vy=10.64470, vz=-97.72451
P19: vx=23.85140, vy=71.15495, vz=66.09149
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4334.343993 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4332.320051 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4315.364279 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4311.972112 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4310.624040 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4290.773475 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4273.395998 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4271.138215 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4270.957018 [s]  t/tmax= 45.00%N_tot=  28        t=  3153600000000000.000000  dt=  1000000.000000  cpu=  4270.080192 [s]  t/tmax= 50.00%
