Run # 16
P: vx=-53.65188, vy=-77.38947, vz=-33.65034
P1: vx=15.19373, vy=64.28464, vz=-75.07753
P2: vx=-72.31820, vy=55.60811, vz=-40.96116
P3: vx=64.20549, vy=-75.87802, vz=10.96274
P4: vx=-28.87716, vy=-52.33775, vz=80.16776
P5: vx=-42.97424, vy=80.83677, vz=40.23222
P6: vx=-59.93875, vy=-60.66876, vz=-52.21731
P7: vx=-48.77195, vy=-80.67666, vz=-33.35525
P8: vx=-85.25942, vy=19.07128, vz=-48.65303
P9: vx=-62.74638, vy=52.65291, vz=57.36342
P10: vx=36.98837, vy=-58.63222, vz=-72.07026
P11: vx=-66.81952, vy=31.42435, vz=67.43635
P12: vx=-66.73455, vy=71.83567, vz=19.65036
P13: vx=-16.30447, vy=74.01101, vz=65.24212
P14: vx=64.78983, vy=-44.88827, vz=-61.54121
P15: vx=63.29126, vy=-6.63541, vz=77.13746
P16: vx=-0.69710, vy=1.30676, vz=99.98903
P17: vx=18.49842, vy=60.32660, vz=-77.57905
P18: vx=71.47538, vy=63.50532, vz=29.29752
P19: vx=-50.28427, vy=85.25520, vz=14.24932
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4334.318778 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4335.039491 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4334.835579 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4334.218967 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4335.702939 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4336.251357 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4336.560572 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4333.414867 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4332.001866 [s]  t/tmax= 45.00%
