Run # 18
P: vx=58.69847, vy=56.49911, vz=57.98570
P1: vx=-44.57876, vy=48.25291, vz=75.39490
P2: vx=90.15992, vy=-42.73360, vz=-6.71032
P3: vx=-3.28020, vy=-94.56684, vz=-32.34739
P4: vx=34.44005, vy=74.02238, vz=57.74573
P5: vx=-55.84874, vy=-57.20140, vz=-60.07428
P6: vx=83.02908, vy=-30.19090, vz=46.84743
P7: vx=70.44866, vy=12.84941, vz=-69.79885
P8: vx=-62.61776, vy=-64.19111, vz=-44.25513
P9: vx=54.41902, vy=-57.91633, vz=-60.69818
P10: vx=-4.96799, vy=73.39693, vz=67.73633
P11: vx=-28.69721, vy=-73.47637, vz=61.46294
P12: vx=-27.00829, vy=-51.80181, vz=-81.16110
P13: vx=60.64532, vy=35.18712, vz=-71.30226
P14: vx=-54.93278, vy=-24.58736, vz=-79.86145
P15: vx=87.36820, vy=14.01912, vz=-46.58608
P16: vx=-96.00818, vy=-1.94534, vz=27.90421
P17: vx=76.49311, vy=-18.97427, vz=-61.55307
P18: vx=-84.93306, vy=-9.69258, vz=-51.88863
P19: vx=-74.06575, vy=-33.41065, vz=-58.29231
N_tot=  28        t=  0.000000  dt=  1000000.000000  cpu=  0.000000 [s]  t/tmax=  0.00%N_tot=  28        t=  315360000000000.000000  dt=  1000000.000000  cpu=  4335.816691 [s]  t/tmax=  5.00%N_tot=  28        t=  630720000000000.000000  dt=  1000000.000000  cpu=  4335.357887 [s]  t/tmax= 10.00%N_tot=  28        t=  946080000000000.000000  dt=  1000000.000000  cpu=  4336.675043 [s]  t/tmax= 15.00%N_tot=  28        t=  1261440000000000.000000  dt=  1000000.000000  cpu=  4335.419416 [s]  t/tmax= 20.00%N_tot=  28        t=  1576800000000000.000000  dt=  1000000.000000  cpu=  4335.465426 [s]  t/tmax= 25.00%N_tot=  28        t=  1892160000000000.000000  dt=  1000000.000000  cpu=  4332.362151 [s]  t/tmax= 30.00%N_tot=  28        t=  2207520000000000.000000  dt=  1000000.000000  cpu=  4311.057595 [s]  t/tmax= 35.00%N_tot=  28        t=  2522880000000000.000000  dt=  1000000.000000  cpu=  4307.502128 [s]  t/tmax= 40.00%N_tot=  28        t=  2838240000000000.000000  dt=  1000000.000000  cpu=  4305.214786 [s]  t/tmax= 45.00%
